,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,duration,country,directors,avg_vote,critics_vote,public_vote,description
95,2015-11-25,The Good Dinosaur,187500000,123087120,333771037,39155217,PG,Adventure,3749,92,2015,100.0,United States,Peter Sohn,6.8,6.77,7.0,"Arlo, a small 70-foot tall but big-hearted dinosaur, sees his community devastated by a great cataclysm. On his way to a mission to restore peace and tranquility, he will join forces with those of an unlikely companion, a young human named Spot."
96,2008-05-02,Iron Man,186000000,318604126,585171547,102118668,PG-13,Adventure,4154,126,2008,126.0,United States,Jon Favreau,6.7,6.7,7.0,"Tony Stark, a playboy tycoon whose industries produce armaments for the American government, is wounded and captured by US enemies during a field test in which some new weapons are being tested. The kidnappers would like to force him to produce weapons for them, but instead he manages to make for himself a special armor thanks to which he manages to escape. Back home he decides not to dispose of that armor, but rather to upgrade it and thus transform himself into Iron Man, a new superhero enemy of crime."
97,2008-07-11,The Dark Knight,185000000,533720947,998615789,158411483,PG-13,Action,4366,152,2008,152.0,United States,Christopher Nolan,7.5,7.37,8.0,"Batman and Commissioner Gordon team up with Harvey Dent, Gotham City's new district attorney, to capture the Joker, a mad criminal who robs banks. But other forces are plotting in the shadows against the Dark Knight."
98,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,100137835,PG-13,Adventure,4264,123,2008,124.0,United States,Steven Spielberg,5.9,5.98,6.0,"We are in 1957, in the middle of the Cold War. Indiana Jones and his assistant Mac have just escaped an unfriendly encounter with Soviet spies when they return to Marshall College, where Jones holds his professorship. The news they find to welcome them is not good at all: the American government suspects Jones of being in league with the Russians and intends to get him fired from the university. However, a perspective opens up thanks to the meeting with the young Mutt, who asks Indiana to accompany him on a dangerous and unclear mission in search of a legendary object: the Crystal Skull of Akator, around which myths and superstitions intertwine. The two thus travel to Peru where they will have to face numerous vicissitudes, complicated by the fact that even the Soviets, led by the glacial spy Irina Spalko, are in search of the precious find."
99,2012-06-21,Brave,185000000,237282182,554606532,66323594,PG,Adventure,4164,93,2012,93.0,United States,"Mark Andrews, Brenda Chapman, Steve Purcell",6.5,6.62,6.0,"Despite being the daughter of King Fergus and Queen Elinor, Merida grew up in the high Scottish valleys in a free and wild way, with the dream of one day creating her own destiny independently, without necessarily having to fulfill the duties that her role imposes. Indomitable and expert in the use of the bow, from which she never separates, in the course of her wanderings the princess ends up breaking an old tradition, dear to the three fearsome but awkward lords of the kingdom - the gigantic MacGuffin, the gruff Macintosh and the unpleasant Dingwall - and to remedy the chaos wreaked he asks the Old Witch for help, but gets into even greater trouble that will lead her to discover all the courage that is in her."
100,2017-02-23,Kong: Skull Island,185000000,168052812,561072059,61025472,PG-13,Adventure,3846,118,2017,118.0,United States,Jordan Vogt-Roberts,6.3,6.42,6.0,"A diverse group of explorers venture together into the depths of a remote Pacific island, as beautiful as it is dangerous. However, none of them are aware that they are about to cross the kingdom of the mythical gorilla Kong."
101,2016-07-21,Star Trek Beyond,185000000,158848340,335673708,59253211,PG-13,Adventure,3928,122,2016,122.0,United States,Justin Lin,6.2,6.5,6.0,"The crew of the Enterprise explores the farthest corners of unknown space, where a mysterious new enemy awaits them, putting them and everything the Federation stands for. The loss of the Enterprise will force everyone to try to survive the dangers of the alien planet Altamid."
102,2019-10-17,Maleficent: Mistress of Evil,185000000,113929605,489346495,36948713,PG,Adventure,3820,118,2019,118.0,"United States, Great Britain",Joachim Rønning,5.4,5.33,6.0,"Time has been kind to Maleficent and Aurora. Their relationship, originating from betrayal, revenge and ultimately love, has grown and is strong. Nonetheless, there is still some hatred between men and magical creatures. Aurora's marriage to Prince Philip is a cause for celebration throughout the Kingdom and in neighboring lands as the wedding will unite the two worlds. An unexpected meeting, however, will give life to a powerful new alliance: Maleficent and Aurora will find themselves on opposite sides of a Great War that will test their loyalty and lead them to wonder if they can really be a family."
103,2017-09-29,Blade Runner 2049,185000000,92054159,258829058,32753122,R,Thriller/Suspense,4058,164,2017,152.0,United States,Denis Villeneuve,7.2,7.27,7.0,"2049. In charge of recovering an old model replicant, Officer K (Ryan Gosling), a blade runner belonging to the LAPD, unearths a long-buried secret that has the potential to plunge what is into chaos. remained of the company. The discovery leads him to track down Rick Deckard (Harrison Ford), a former blade runner who has been missing for thirty years."
104,2019-10-25,Terminator: Dark Fate,185000000,62253077,250372367,29033832,R,Action,4086,128,2019,128.0,United States,Tim Miller,5.5,5.5,6.0,"Sarah Connor, now an expert car hunter, finds herself having to save a girl named Dani Ramos. A new cyborg model, sent from the future by Skynet, is chasing the young woman. The resistance has tasked a half-human, half-cyborg hybrid named Grace to protect Dani. Despite Grace's enhanced genes and Sarah's various weapons, the two fail to take down the fearsome cyborg and escape seems to be the only way to escape. But you can't escape forever: women are then forced to turn to the ""old"" model of Terminator, the T-800, the only one who can try to help them save not only the young woman but also the future."
105,2021-07-28,The Suicide Squad,185000000,55817425,167120232,26205415,R,Action,4019,132,2021,132.0,United States,James Gunn,6.7,6.46,7.0,"Welcome to hell, that is, to Belle Reve, the prison with the highest death rate in the United States, where the worst supervillains are held, willing to do anything to get out: even join the super secret and dark Task Force X. And so that Bloodsport, Peacemaker, Captain Boomerang, Ratcatcher 2, Savant, King Shark, Blackguard, Javelin and the most beloved psychopath of all, heavily armed Harley Quinn, are dumped on the remote island of Corto Maltese, full of enemies. Venturing into a jungle teeming with militant adversaries and guerilla forces, the Squad will be involved in a search and destruction mission, under the leadership of Colonel Rick Flag on the territory and with the directives of the technology experts of Amanda Waller's government in their ears, who from the base they guide them."
106,2019-05-22,Aladdin,182000000,355559216,1046649706,91500929,PG,Adventure,4476,128,1992,91.0,United States,"Ron Clements, John Musker",7.1,6.89,7.0,"A little street thief, Aladdin, madly in love with Princess Jasmine, finds a lamp that he discovers to be magical. It holds captive a genius whose destiny is to grant three wishes to the owner of the lamp. The road seems clear but the lamp is stolen by the evil Jafar. It will be necessary the intervention of the genius who will receive freedom as a reward."
107,2019-05-22,Aladdin,182000000,355559216,1046649706,91500929,PG,Adventure,4476,128,2019,128.0,United States,Guy Ritchie,6.2,6.25,6.0,"Aladdin is an unfortunate but adorable street boy, in love with the beautiful Princess Jasmine, the daughter of the Sultan of Agrabah. In order to realize his dream he will be able to count on the support of the Genie, a magical creature with the power to grant three wishes for anyone who comes into possession of his magic lamp, but he will also have to defeat Jafar, the evil sorcerer who aims for power over the kingdom of Agrabah."
108,2017-10-25,Thor: Ragnarok,180000000,315058289,850482778,122744989,PG-13,Action,4080,130,2017,130.0,United States,Taika Waititi,5.8,5.64,6.0,"Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself engaged in a race against time to return to Asgard and stop the destruction of the planet at the hands of a new enemy, the ruthless Hela. Before he can, however, he will have to survive a gladiator contest in which he will be pitted against former ally the Hulk."
109,2014-05-28,Maleficent,180000000,241407328,758536735,69431298,PG,Adventure,3948,97,2014,135.0,United States,Robert Stromberg,5.7,5.62,6.0,"When Princess Aurora comes into the world, the whole kingdom is thrilled. The only one to be furious is the evil witch Maleficent (Angelina Jolie) who curses the little girl, foreshadowing her death at the age of sixteen due to a prick of a finger on the spindle of a spinning wheel. Growing up under the protective wing of her father and the three fairies Giuggiola, Florina and Verdelia, Aurora will find herself at the center of a conflict between the forest kingdom she has learned to love and the human kingdom she belongs to as Maleficent realizes that the princess could be the key to peace by making drastic decisions that will change both worlds forever."
110,2008-06-27,WALL-E,180000000,223808164,532508025,63087526,G,Adventure,3992,100,2008,98.0,United States,Andrew Stanton,8.6,8.68,8.0,"After hundreds of years spent alone, doing the one thing he was programmed to do (sorting out the garbage), the little robot WALL * E (Waste Allocation Load Lifter Earth-Class) meets the robot EVE, sent to do research. ."
111,2007-08-10,Rush Hour 3,180000000,140125968,256585882,49100158,PG-13,Action,3778,91,2007,91.0,United States,Brett Ratner,5.0,4.5,5.0,"LAPD Detective Carter and Hong Kong Chief Inspector Lee are once again ""forced"" to join forces to defeat a Triad boss hiding in Paris."
112,2016-06-27,The Legend of Tarzan,180000000,126643061,348902025,38527856,PG-13,Adventure,3591,110,2016,109.0,United States,David Yates,4.7,4.45,5.0,"Tarzan left the African jungle for several years to lead a normal bourgeois life like John Clayton III with his wife Jane. Invited to Congo as an emissary of Parliament, he does not know that he is just a pawn in the hands of Captain Leon Rom, a man thirsty for revenge. But no one has any idea what the Roma plot is about to unleash."
113,2015-02-06,Jupiter Ascending,179000000,47482519,181982519,18372372,PG-13,Action,3885,127,2015,125.0,United States,"Lilly Wachowski, Lana Wachowski",5.0,4.76,5.0,"In a world where humans represent the lowest rung of the evolutionary ladder, Jupiter Jones (Mila Kunis) was born under a lucky star and has an extraordinary destiny ahead of her. Now grown up, she still continues to have big dreams despite reality forcing her to a toilet cleaning job. When she then meets Caine (Channing Tatum), a genetically altered ex-military hunter, Jupiter realizes he is at the center of something bigger than her. In the crosshairs of the Queen of the Universe who fears the end of her reign, Jupiter has on his shoulders an extraordinary legacy that could alter the balance of the entire cosmos."
114,2016-05-18,X-Men: Apocalypse,178000000,155442489,542537546,65769562,PG-13,Action,4153,136,2016,140.0,United States,Bryan Singer,6.2,5.94,6.0,"Since the dawn of civilization, he has been revered as a God. Apocalypse, the first and most powerful mutant of the X-Men, has amassed the powers of many other mutants, becoming immortal and invincible. Awakening after thousands of years, he is disappointed by the world and recruits a group of powerful mutants, including an embittered Magneto, entrusting them with the task of purifying humanity and creating a new order over which to reign. As the fate of Earth hangs in the balance, Raven, with the help of Professor X, must lead a group of young X-Men in an attempt to stop their greatest enemy and save humanity from complete destruction."
115,2018-08-09,The Meg,178000000,145443742,527370715,45402195,PG-13,Action,4118,113,2018,114.0,United States,Jon Turteltaub,4.6,4.2,5.0,"Five years earlier, experienced diver and Navy captain Jonas Taylor encountered an unknown danger in the uncharted ravines of the Mariana Trench and was forced to abandon his mission and half of his crew. The tragic accident earned him a dishonorable discharge, career, and even his marriage, and his testimony that he had been the victim of a 70-foot-tall prehistoric creature believed extinct for over a million years was useless. But when, after some time, a submarine sinks in the same spot and needs help, Jonas is recalled for a special mission that can restore his reputation."
116,2014-05-28,Edge of Tomorrow,178000000,100206256,367028980,28760246,PG-13,Action,3505,136,2014,113.0,United States,Doug Liman,6.9,6.76,7.0,"In the near future, the Mimic, an alien super race, attacked Earth, destroying cities and leaving a trail of millions of human victims. Ferocious, brutal, armed and endowed with extraordinary telepathic abilities, they have met no one capable of stopping them until the day when armies around the world decide to join forces for a last desperate attempt at resistance. Among the commanders chosen is also Bill Cage (Tom Cruise) who, untrained in combat, is killed in a few minutes along with an alien. Inexplicably Cage awakens from the dead but is doomed to repeat the same day and fight over and over. Refining techniques and skills in battle after battle, Cage joins forces with Rita Vrataski (Emily Blunt), a special warrior who has killed more Mimic than anyone else."
117,2019-03-06,Captain Marvel,175000000,426829839,1129727388,153433423,PG-13,Action,4310,124,2019,128.0,United States,"Anna Boden, Ryan Fleck",5.9,5.88,6.0,"In the mid-1990s, Carol Danvers left Earth to join an intergalactic Kree military corps. Destined to become one of the most powerful heroes in the universe, she will find herself fighting against the Skrulls, more dangerous than ever, and their leader Talos, ready for an unprecedented invasion."
118,2016-04-07,The Jungle Book,175000000,364001123,953554418,103261464,PG,Adventure,4144,105,1942,109.0,United States,Zoltan Korda,6.6,6.5,7.0,"Mowgli, in the course of the Shere Kan tiger hunt, finds a lost temple in the jungle and a fabulous treasure. Buldeo, a village chief, steals one of the precious stones, but is forced to abandon it to avoid the curse."
119,2016-04-07,The Jungle Book,175000000,364001123,953554418,103261464,PG,Adventure,4144,105,1967,78.0,United States,Wolfgang Reitherman,7.2,7.0,7.0,"An orphan raised in the jungle by wolves, a bear and a panther, must decide what is best for him: the forest, with its entertainment but also its dangers, or the world of men?"
120,2016-04-07,The Jungle Book,175000000,364001123,953554418,103261464,PG,Adventure,4144,105,2016,105.0,United States,Jon Favreau,6.8,6.75,7.0,"Mowgli, a small orphan abandoned in the Indian jungle, is raised by a pack of wolves. However, the arrival of the tiger Shere Khan will put his life in danger, forcing him on a daring journey between pitfalls and dangers."
121,2015-06-12,Inside Out,175000000,356461711,853003563,90440272,PG,Adventure,4158,95,1975,95.0,Great Britain,Peter Duffell,6.0,6.0,6.0,"In August 1941, a shipment of gold bars destined for the coffers of the Third Reich disappeared. After the war, a commando made up of people of various nationalities and different specializations attempts to recover the precious metal. The matter is very complex (it is even necessary to ""resurrect"" Hitler!), But the operation, thanks to the accuracy with which it was organized, has the desired outcome. A narrative that does not sufficiently tread its hand into the ""game"" of the paradoxical aspects of the story, poised between grotesque humor and imaginative adventurosity. Too bad, because that would have been the only condition to save the shack and puppets."
122,2015-06-12,Inside Out,175000000,356461711,853003563,90440272,PG,Adventure,4158,95,2011,93.0,United States,Artie Mandelberg,2.5,2.0,3.0,"Arlo Jaine (Paul Lavesque) must serve a long period of captivity for the murder of those who wanted to eliminate Jack Small, his best friend. Released from jail, Arlo is hosted at the home of the friend of the friend and is determined to make up for a lifetime. Jack, however, is involved in illegal laps and, when involuntarily commits the murder of a man who had to money, for Arlo, the troubles start again."
123,2015-06-12,Inside Out,175000000,356461711,853003563,90440272,PG,Adventure,4158,95,2015,102.0,United States,Pete Docter,8.3,8.44,8.0,"Growing up isn't always easy, and 11-year-old Riley realizes it when she's forced to leave her life in the Midwest to follow her father's job in San Francisco. Like everyone else, Riley is driven by the five main emotions - Joy, Fear, Anger, Disgust and Sadness - that live in her mind and help her cope with everyday life. As Riley struggles to adjust to the new big city, agitation mounts at the headquarters of emotions: although Joy tries to maintain a positive view of things, the remaining emotions conflict over how best to explore the new reality in which they find themselves."
124,2017-07-05,Spider-Man: Homecoming,175000000,334201140,878346440,117027503,PG-13,Action,4348,133,2017,133.0,United States,Jon Watts,5.7,5.38,6.0,"Young Peter Parker, enthusiastic about his experience with the Avengers, returns home, where he lives with his aunt May, under the watchful eye of his new mentor Tony Stark. Peter tries to get back to his daily routine - distracted by the thought of having to prove he's worth more than the friendly neighborhood Spider-Man - but when the Vulture appears, everything Peter cares about is threatened."
125,2016-08-02,Suicide Squad,175000000,325100054,745744980,133682248,PG-13,Action,4255,123,2016,137.0,United States,David Ayer,4.5,4.47,5.0,"A secret government agency, run by Amanda Waller and called Argus, creates a task force made up of super villains. They are assigned dangerous tasks to complete in exchange for leniency for their prison sentences. However, not everything is as simple as it appears to be and the squadron will soon have to deal with an unexpected situation."
126,2009-05-28,Up,175000000,293004164,731463377,68108790,PG,Adventure,3886,89,2009,96.0,United States,"Peter Docter, Bob Peterson",8.4,8.5,8.0,"A story from the past that tells the adventures of Carl Fredricksen, a sprightly seventy-year-old. After having dreamed of traveling the world for a lifetime, he will find himself fulfilling his wish in the company of a small, but persistent, eight-year-old boy scout. The bizarre couple, aboard Carl's old cottage transformed by thousands of colorful balloons into a cheerful airship, will fly over the globe and will have to face monsters and villains of all kinds."
127,2017-10-27,Coco,175000000,210460015,797666425,50802605,PG,Musical,3987,105,2017,109.0,United States,"Lee Unkrich, Adrian Molina",7.8,7.65,8.0,"Although his family has been against music for generations due to some sort of curse, Miguel dreams of becoming a musician like his idol Ernesto de la Cruz. In an attempt to prove his talent, little Miguel finds himself in the colorful Land of the Afterlife following a mysterious chain of events. This will allow him to meet several deceased ancestors, such as great-grandmother Imelda and the charming hustler Hector. With the latter, then, he will set off on an extraordinary journey in order to find Ernesto, earn the blessing of the family and return to the World of the Living before it is too late."
128,2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380,59321095,PG,Adventure,4136,95,2009,94.0,United States,"Rob Letterman, Conrad Vernon",6.1,6.36,6.0,"A terrible threat weighs on the planet: the by no means peaceful invasion of an alien species. The Pentagon decides to face her with its secret weapon, the most powerful: a collection of monsters, actually quite clumsy. I'm Insectosaurus, Missing Link, Professor Cockroaches. B.O.B. and ... Susan, a simple girl who, following an experiment, reached the height of 30 meters. They will be the ones to unleash an epochal battle against the titanic invading UFO."
129,2017-06-16,Cars 3,175000000,152901115,383541369,53688680,G,Adventure,4256,109,2017,109.0,United States,Brian Fee,5.3,4.75,6.0,"Lightning McQueen is used to the role of young champion. However, time passes and by now it begins to feel a bit obsolete. To compete in the increasingly technological world of auto racing, he needs help as a result. Fortunately, the Hispanic Cruz Ramirez will come to his rescue, who will train him to face his new opponents."
130,1999-06-30,Wild Wild West,175000000,113805681,221229335,27687484,PG-13,Adventure,3342,107,1999,110.0,United States,Barry Sonnenfeld,4.7,4.55,5.0,Special government agents James and Artemus are sent on the trail of the evil Dr. Arliss Loveless. He is devising a plan to assassinate the President of the United States with the help of a monstrously sized armed vehicle called the Tarantula.
131,2007-06-22,Evan Almighty,175000000,100289690,174131329,31192615,PG,Comedy,3636,96,2007,95.0,United States,Tom Shadyac,5.0,5.13,5.0,"Evan Baxter, newly elected to Congress with the slogan ""let's change the world"", has just left Buffalo to move to a small town in Virginia with his wife and three children. One day, quite unexpectedly, he is contacted by the Almighty himself, who suggests that he build an ark in view of a great flood. Evan takes the advice literally and begins building the big boat in his backyard."
132,1995-07-28,Waterworld,175000000,88246220,264246220,21171780,PG-13,Action,2420,135,1995,135.0,United States,Kevin Reynolds,6.3,6.11,6.0,"We are in the future, the polar ice caps have melted and the earth is covered with water. The inhabitants dream of a mythical place called Dryland (dry land). The men who survived built strange islands for themselves, threatened by gangs of raiders. A lone hero fights the fierce pirate leader, the Deacon, and goes in search of a new life accompanied by a beautiful woman and a mysterious girl."
133,2020-01-08,Dolittle,175000000,77047065,251410631,21844045,PG,Adventure,4155,103,2020,106.0,United States,Stephen Gaghan,5.4,5.2,6.0,"Seven years after losing his wife, the eccentric Dr. John Dolittle, a famous physician and veterinarian from Victorian England, finds himself behind the high walls of his home with only the company of his exotic animals. When the young queen falls seriously ill, he is reluctantly forced to set sail on an epic adventure to a legendary island in search of a cure, thus regaining his wits and courage as he stumbles upon old adversaries and discovers wonderful creatures. A young assistant and an incredible group of animal friends will accompany him on the journey."
134,2017-05-11,King Arthur: Legend of the Sword,175000000,39175066,139630336,15371270,PG-13,Adventure,3702,126,2017,127.0,United States,Guy Ritchie,5.2,5.0,5.0,"Young and intelligent, Arthur moves to the London suburbs with his gang, not suspecting the fate that awaits him until the moment he grabs the sword Excalibur. Tested by the weapon's extraordinary power, Arthur is immediately forced to make difficult choices. Joining the Resistance and a mysterious sorceress, she must learn to use the sword, overcome her own personal demons and join the people to defeat the tyrant Vortigern, who stole the crown and killed his parents, and save the throne."
135,2013-12-06,47 Ronin,175000000,38362475,151716815,9910310,PG-13,Action,2690,127,2013,119.0,United States,Carl Rinsch,4.5,4.09,5.0,"After their lord and leader is forced to make harakiri by the will of the grim Lord Kira (Tadanobu Asano), a group of 47 samurai devise a plan to get their revenge and restore honor to their house. Among them, there is also Kai (Keanu Reeves), whose position is not clear to his companions due to the love that the ronin feels for Mika (Kô Shibasaki), the daughter of the deceased master."
136,2022-05-20,Top Gun: Maverick,170000000,715270567,1478823595,126707459,PG-13,Action,4751,131,2021,131.0,United States,Joseph Kosinski,6.6,6.33,7.0,"After more than thirty years of service in the Navy, the lieutenant Pete ""Maverick"" Mitchell (Tom Cruise) is precisely what he has always wanted to be: a courageous pilot who can go beyond all limit, trying to dodge the career advancement that would put a brake on his freedom. When he is called to train a detachment of students of the Top Gun Academy for a specialized mission that no one in the world has ever completed, Maverick meets Lieutenant Bradley Bradshaw (Miles Teller), code name ""Rooster"": he is the son of the Maverick's friend, Lieutenant Nick Bradshaw, called ""Goose"". Grappling with an uncertain future and with the ghosts of the past, Maverick must confront his deepest fears, facing a mission that will require the ultimate sacrifice of those who choose to participate."
137,2018-06-06,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005,148024610,PG-13,Action,4485,128,2018,124.0,United States,Juan Antonio Bayona,5.8,5.74,6.0,"It's been three years since the Jurassic World theme park was destroyed by dinosaurs escaping from the containment cages; Isla Nublar is now a wilderness abandoned by humans where surviving dinosaurs seek refuge in the jungle. When the previously dormant volcano awakens, Owen (Chris Pratt) and Claire (Bryce Dallas Howard) embark on a campaign to save the surviving dinosaur species from a mass destruction event. Owen is intent on searching for Blue, his main velociraptor still lost in the forest, while Claire has in the meantime developed a respect for these creatures, which have now become her mission. Arriving on the island just as the lava begins to flow, the two also discover a global conspiracy that could return the entire planet to a ruinous state of disorder like not seen since prehistoric times."
138,2014-07-31,Guardians of the Galaxy,170000000,333714112,770882395,94320883,PG-13,Action,4088,121,2014,122.0,United States,James Gunn,6.8,7.12,6.0,"Cheeky adventurer Peter Quill finds himself the object of an inexorable hunt for bounty after stealing a mysterious orb coveted by Ronan, a powerful villain who threatens the entire universe. To evade the increasingly tenacious Ronan, Quill is forced to team up with a quartet of alien misfits before discovering what the real power of the sphere is and realizing that he has the fate of the entire galaxy in his hands."
139,2010-05-07,Iron Man 2,170000000,312433331,621156389,128122480,PG-13,Action,4390,125,2010,124.0,United States,Jon Favreau,5.7,5.7,6.0,"The world now knows that Tony Stark is hiding behind the Iron Man mask. The sly businessman is under great pressure from the government and public opinion to share his findings with the country's armed forces, but a fear is stirred in him: that such powerful weapons and technologies will fall into the wrong hands. And in the meantime, Tony forges new alliances that will prove very useful in facing a new imminent danger."
140,2014-03-28,Captain America: The Winter Soldier,170000000,259746958,714401889,95023721,PG-13,Action,3938,135,2014,128.0,United States,"Anthony Russo, Joe Russo",6.5,6.58,6.0,"Steve Rogers (Chris Evans) struggles to live with his role as a superhero of Captain America in the modern world and teams up with Natasha Romanoff (Scarlett Johansson), aka the Black Widow, to fight a powerful enemy plotting in the shadows in the city. of Washington."
141,2014-07-09,Dawn of the Planet of the Apes,170000000,208545589,710644566,72611427,PG-13,Adventure,3969,130,2014,127.0,United States,Matt Reeves,6.6,6.52,7.0,"An ever-growing number of genetically evolved apes led by Caesar are threatened by a group of humans who survived the devastating virus that spread a decade earlier. After a brief and fragile peace, humans and apes are brought to the brink of a war that will determine who will be the dominant species on Earth."
142,2004-11-10,The Polar Express,170000000,188578855,312719437,23325035,G,Adventure,3650,92,2004,100.0,United States,Robert Zemeckis,6.3,6.53,6.0,"A little boy eagerly awaits the arrival of Santa Claus. There are five minutes to midnight: suddenly a thunderous roar is heard and a train stops right in front of the child's house. The driver seems to have come to pick him up to take him, on the Polar Express, to the North Pole."
143,2012-05-30,Snow White and the Huntsman,170000000,155136755,401021746,56217700,PG-13,Adventure,3777,127,2012,127.0,United States,Rupert Sanders,5.5,5.81,5.0,"Raised after the death of her father by her cruel stepmother (Charlize Theron), Princess Snow White (Kristen Stewart) was forced to live in humiliation and contempt, even giving up her love for a prince of her age (Sam Claflin). When, then, a magic mirror reveals to the cruel queen that she has been surpassed in beauty by her young stepdaughter, the hunter Eric (Chris Hemsworth) will be in charge of killing the girl but, after discovering that the one responsible for the death of his beloved wife is precisely the queen, the man will become the greatest ally of Snow White who - having taken refuge in the dark forest - is preparing a plan of revenge with the help of seven dwarves with whom she has found hospitality."
144,2003-07-01,Terminator 3: Rise of the Machines,170000000,150358296,433058296,44041440,R,Action,3504,109,2003,110.0,"United States, Germany, Great Britain",Jonathan Mostow,5.3,4.93,6.0,"John Connor is twenty-two and lives undercover. But Skynet does not give up and sends back in time T-X, the most sophisticated cyborg killer that exists: it is a lethal machine, as ruthless as it is beautiful in its human form, infinitely more destructive than the Terminators that preceded it. Just three hours to the day of Judgment, and Connor realizes that the only hope of survival lies with the cyborg Terminator, his former enemy who now appears obsolete ..."
145,2004-05-05,Van Helsing,170000000,120150546,300150546,51748040,PG-13,Action,3580,132,2004,145.0,United States,Stephen Sommers,4.5,4.29,5.0,"The famous monster hunter Van Helsing travels to Transylvania on behalf of a secret society in order to kill Count Dracula. Anna will help him, who wants to destroy the vampire to erase the curse that hangs over his family. But Van Helsing also has to contend with Frankenstein and the Wolf Man ..."
146,2019-03-27,Dumbo,170000000,114766307,353166307,45990748,PG,Adventure,4259,130,1941,64.0,United States,Ben Sharpsteen,8.2,8.3,8.0,"Dumbo, son of the elephant Jumbo, has two huge protruding ears and for this he is teased by the other elephants of the circus. The poor guy is lonely and dejected, but he meets a true friend in a mouse with an unbridled fantasy. It will be he who will discover that, thanks to his huge ears, the little pachyderm will be able to fly. Dumbo thus becomes the real star of the circus."
147,2019-03-27,Dumbo,170000000,114766307,353166307,45990748,PG,Adventure,4259,130,2019,130.0,United States,Tim Burton,6.1,6.0,6.0,"Holt Farrier, a former circus star, finds his world upset after returning from the war. Max Medici, the owner of a circus, offers him the chance to take care of Dumbo, a newborn elephant whose big ears are an attraction. But when Holt's children discover that Dumbo can fly, persuasive entrepreneur V.A. Vandevere and the trapeze artist Colette Marchant try to turn the animal into a star."
148,2015-05-20,Tomorrowland,170000000,93436322,206627518,33028165,PG,Adventure,3972,129,2015,130.0,United States,Brad Bird,5.6,5.75,5.0,"Linked by a common destiny, a brilliant and optimistic teenage girl, driven by a lot of scientific curiosity, and a disillusioned former child prodigy inventor join forces to embark on a dangerous mission to uncover the secrets of an enigmatic place, located somewhere in the time and space and that exists in their collective memory as ""Tomorrowland"", the land of tomorrow."
149,2019-02-01,Alita: Battle Angel,170000000,85838210,401900040,28525613,PG-13,Action,3802,122,2019,121.0,United States,Robert Rodriguez,6.1,5.8,6.0,"XXVI century. Alita (Rosa Salazar) is a cyborg who is discovered in a junk yard by Dr. Daisuke Ido (Christoph Waltz). With no recollection of her previous life, except for the incredible martial arts training memorized by her body, Alita becomes a ruthless bounty hunter, on the trail of the world's worst criminals."
150,2016-05-20,Alice Through the Looking Glass,170000000,77042381,276928112,26858726,PG,Adventure,3763,113,2016,108.0,United States,James Bobin,5.1,4.63,6.0,"Alice Kingsleigh (Mia Wasikowska) has spent the last few years following her father's footprints and sailing the open sea. Upon her return to London, she finds herself crossing a magic mirror that takes her back to the Underworld where she meets her friends again the White Rabbit, the Caterpillar, the Cheshire Cat and the Mad Hatter (Johnny Depp), who seems to be no longer in himself. The Hatter has lost his Moltezza, so Mirana (Anne Hathaway) sends Alice in search of the Chronosphere, a spherical metal object kept in the Grand Clock room that regulates the passage of time. Traveling back in time, meet friends - and enemies - at different times in their lives and embark on a perilous race to save the Hatter before it's too late."
151,2022-06-01,Jurassic World: Dominion,165000000,376009080,1001188755,145075625,PG-13,Action,4697,146,2022,146.0,United States,Colin Trevorrow,5.0,4.73,5.0,"Four years have passed since the destruction of Isla Nubar, where the Jurassic World Park was located. The dinosaurs now live throughout the planet and the balance established between the great animals of the past and those of the present, including man, is truly fragile, putting at risk the survival of the world as we know it."
152,2016-10-24,Doctor Strange,165000000,232641920,676354481,85058311,PG-13,Action,3882,115,2007,76.0,United States,AA.VV.,6.3,6.0,7.0,"The neurosurgeon Strange is one of the best doctors around but his being arrogant and contemptuous of the work of others makes him disliked by friends and colleagues, finding himself almost alone in a world full of recurring visions and nightmares. One night, to avoid a group of ghost children, Strange has an accident that compromises the use of his hands and ruins his career. Because of this, after a period of perdition, he decides to go to Tibet in search of some serenity but here he runs into the Ancient One, an old priest who, taking him under his protective wing, transmits him the secrets to fight. monsters increasingly dangerous for the existence of the human race."
153,2016-10-24,Doctor Strange,165000000,232641920,676354481,85058311,PG-13,Action,3882,115,2016,115.0,United States,Scott Derrickson,6.3,6.3,6.0,"Stephen Strange, an eccentric neurosurgeon, loses the use of his hands in an accident. This inevitably compromises his career and, in search of a desperate solution, Strange travels to the Himalayas, where he discovers the mysticism and the power of magical powers thanks to the future Ancient mentor."
154,2014-10-25,Big Hero 6,165000000,222527828,648415024,56215889,PG,Adventure,3773,108,2014,108.0,United States,"Don Hall, Chris Williams",7.1,7.24,7.0,"Hiro Hamada, brilliant robotics prodigy, finds himself caught in the grip of a criminal plot aimed at destroying the fast-paced, high-tech city of San Fransokyo. With the help of his bodyguard robot named Baymax, Hiro joins forces with a reluctant team of neo-crime fighters to save the city."
